time,addr,txid,value
2020-09-02 19:22:09,['bc1qgpl339pzf7h3ymzkln3zulhxyfrhad66qythgj'],9b18d20af780b9f07ad46334884c03d62946d037e01ff17062d9e09c6cff4b21,-39.51943402
2020-09-04 05:49:34,['bc1qgpl339pzf7h3ymzkln3zulhxyfrhad66qythgj'],afc9b6ad4fae50210d424d64327ea7d30674d094ce9285cd36d05898bbab379a,171.00245892
2020-09-06 18:26:24,['bc1qgpl339pzf7h3ymzkln3zulhxyfrhad66qythgj'],44ee12fa8acbeeaa9d3c2568b37e9c805bd980cf3b8c5efd27f09f044e5a0319,-171.00245892
2020-09-06 20:12:45,['bc1qgpl339pzf7h3ymzkln3zulhxyfrhad66qythgj'],729aa30c502fff824af264240df5884f1798ada8458aa84544b52a8c162c29cd,3.77002397
2020-09-08 04:19:48,['bc1qgpl339pzf7h3ymzkln3zulhxyfrhad66qythgj'],9a6e5fcc023c725951acda3b131f4e4d219a49c72cc329a5c7d9a522c8f54af1,-3.77002397
2020-09-08 04:19:48,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],9a6e5fcc023c725951acda3b131f4e4d219a49c72cc329a5c7d9a522c8f54af1,-61.23030295
2020-09-14 18:07:02,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],ef527e76fd396c9414509fc8373e483b8df7c14c1019bb027cb2830ac2b65cdc,6.15343194
2020-09-14 20:15:36,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],cbcb757903d20d598236e7c95eb80d60c616ca688db4433819f848b1077f4760,-7.44447948
2020-09-14 21:46:31,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],215a38d55a10a0b3d7d8553c9b71bb26a2223e11f3e29e52a8feaf25578ba787,19.41122337
2020-09-16 04:05:32,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],7a980773f26aecd3712a55bca21323571972df35f23576341bcfffe6ba5c922e,-19.41122337
2020-09-16 16:51:40,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],ed03f0299261546e7bf86b94dcf115204dfcdd9707d2cdbac606a8df9bd0ef68,17.67891233
2020-09-18 05:14:49,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],0678102555866e6cb7bfa6dbb1264f530a9885294da4e842846ccaada6bbb06f,9.69528473
2020-09-23 19:19:54,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],c44330198b28bf12bb1fba6d85bc56526c3ba371b7283d07bf0d66c0f649e209,3.05796731
2020-09-29 21:20:24,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],27abc22cb03ad402ba884a0120d2295f06e392f9c53e73b00782796cf2b41bc7,2.76449766
2020-10-02 01:02:28,['bc1qgpl339pzf7h3ymzkln3zulhxyfrhad66qythgj'],4028636b59f2cd64299564342a4eb0d0e41a93e1bfc0261454cdac04874c9ca3,0.01
2020-10-02 04:12:37,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],5155040252a039726de9fe721df6769d6117d7433517ae899aa73ac1f7e0bc69,2.48362733
2020-10-02 04:29:00,['bc1qgpl339pzf7h3ymzkln3zulhxyfrhad66qythgj'],33475aabc009733ca8990cc683fdb38d3e083dc3e4899ad5cf81d340bfa635e4,-0.01
2020-10-02 04:29:00,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],33475aabc009733ca8990cc683fdb38d3e083dc3e4899ad5cf81d340bfa635e4,-0.00022826
2020-10-02 04:34:31,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],9c7dfe919cb272ea01092eccad401d93b3fbda664af6c937b0dce48ac816d00e,-35.6800611
2020-10-07 19:13:57,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],59df88aa5bae8e7672bf372edf5a1915354342c4edb3cd63587d2224c37edd12,1.18692141
2020-10-07 19:40:06,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],144637111d2f972aaf8fd0661d0875d39339581fcc81c3d482b376beb6f9fe05,-0.19017898
2020-10-07 19:40:06,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],c8318e81f4d7540cf572bcfc3e0e3f7bd6aac11fe285e76a8a72375158101a6f,-0.01019311
2020-10-07 19:40:06,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],7b8e1892b5be88b1800fa84154d3fad28bad965416180ae19a677ce21bdf42e1,-0.01019311
2020-10-07 19:40:06,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],b82a2013423540d21af0b15262f30a18ca1006f568c6141f678f95af7ba2791d,-0.01019311
2020-10-07 19:46:34,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],9c7042486b52dafdddfafb3a75e9f92d28a811481b8a7d126111008f419d5a4d,-0.19018526
2020-10-07 19:52:14,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],c8b17da60c1260b8db0400f79a091a52bbf8f29ff0b6308afaf2470fd82d99e8,-0.19017898
2020-10-07 19:52:14,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],d9185bbe763ab300feebbe6928264a59b10966330fc4474ff3bacf33091f3307,-0.19017898
2020-10-07 19:52:14,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],4833b8be15f1bc1b197b66d0bd2b4eea9de5a1af9520653e602cbd5af481e44e,-0.01018526
2020-10-18 22:27:29,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],2ee54f2ffd101db2f72f963cbcef1eedfc5856b8bca5c225c8aca41ba6254f60,1.7518246
2020-10-19 18:33:30,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],8fcdf53ee09963a6a2a86813783f921dd834b09884b34499fed52aed3c9d7438,-0.0100942
2020-10-19 18:38:25,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],2d6b6c2f83b42c4513b5c91fb1c42db58851b30b1f36739904dd8c14efdf5f7e,-1.9901356
2020-10-20 22:34:01,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],0b1d88e1f9fe57f5bec1eb5f0a8d449f32ff77f17b982739fee939b61004a0d3,5.50274792
2020-10-22 03:27:52,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],512c9eb2a564924adf32d251839cc0bb4687e95571fab8f9f604c4093da30e0f,-0.01020881
2020-10-23 19:01:47,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],2acc19664f13ce7034d6422abcc64998f2055f114d7bc40dbf6097f4d373f06b,3.3586928
2020-10-28 16:19:55,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],27ccc04aad37feae3013dbde5c4b57f139ca9e17d93aab5b5cff0b7d23d5dbd3,-0.00048779
2020-10-28 16:19:55,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],2108a44cfe82a973a762117698ef1f04d1a1b6c8fd554399c7ab8d50e9a6f44f,-0.00048779
2020-10-28 18:42:55,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],63e34565092073533a2d614a06c437fe9eb0ea8cba6cd1caa89158e4ec8fe504,-0.20030349
2020-10-28 18:42:55,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],9b69383e512708c70b01760c3e16e2a5ee350904ddfba4907855fc60e7fde4cc,-0.50048082
2020-10-29 02:17:42,['bc1qpdnegdpanatyh4m3tty7kexeu9m3jc52ll6l8f'],f57226b5cffbf61d33d2dd12c82574d5bb2ced321967369edcd5cf6448577832,-0.00049721
